Athlétiques Val-des-Monts,National Gatineau,6 - 7,"Mer, 08 jun",18:30,Sanscartier 3,ABAG,http://www.baseballoutaouais.com/index.php?page=stats&entity=game&action=display&id=5302&back=czo1NzoiL2luZGV4LnBocD9wYWdlPXN0YXRzJmVudGl0eT1jYXRlZ29yeSZhY3Rpb249ZGlzcGxheSZpZD03Ijs=
Pionniers La Pêche,Mariniers Aylmer,9 - 17,"Mer, 08 jun",18:30,Lloyd,ABAA,http://www.baseballoutaouais.com/index.php?page=stats&entity=game&action=display&id=5303&back=czo1NzoiL2luZGV4LnBocD9wYWdlPXN0YXRzJmVudGl0eT1jYXRlZ29yeSZhY3Rpb249ZGlzcGxheSZpZD03Ijs=
National Gatineau,Express Deux-Rives,4 - 14,"Jeu, 09 jun",18:30,Gilles-Maisonneuve,ABADR,http://www.baseballoutaouais.com/index.php?page=stats&entity=game&action=display&id=5304&back=czo1NzoiL2luZGV4LnBocD9wYWdlPXN0YXRzJmVudGl0eT1jYXRlZ29yeSZhY3Rpb249ZGlzcGxheSZpZD03Ijs=
Hull Volant Hull,Pionniers La Pêche,9 - 18,"Jeu, 09 jun",18:30,Parc des Loups,ABALP,http://www.baseballoutaouais.com/index.php?page=stats&entity=game&action=display&id=5305&back=czo1NzoiL2luZGV4LnBocD9wYWdlPXN0YXRzJmVudGl0eT1jYXRlZ29yeSZhY3Rpb249ZGlzcGxheSZpZD03Ijs=
Hull Volant Hull,Patriotes Gatineau,10 - 14,"Lun, 13 jun",18:30,Sanscartier 3,ABAG,http://www.baseballoutaouais.com/index.php?page=stats&entity=game&action=display&id=5306&back=czo1NzoiL2luZGV4LnBocD9wYWdlPXN0YXRzJmVudGl0eT1jYXRlZ29yeSZhY3Rpb249ZGlzcGxheSZpZD03Ijs=
National Gatineau,Athlétiques Val-des-Monts,6 - 12,"Lun, 13 jun",18:30,J.A. Perkins,ABAVDM,http://www.baseballoutaouais.com/index.php?page=stats&entity=game&action=display&id=5307&back=czo1NzoiL2luZGV4LnBocD9wYWdlPXN0YXRzJmVudGl0eT1jYXRlZ29yeSZhY3Rpb249ZGlzcGxheSZpZD03Ijs=
Pionniers La Pêche,Hull Volant Hull,10 - 10,"Mar, 14 jun",18:30,Ste-Bernadette,ABAH,http://www.baseballoutaouais.com/index.php?page=stats&entity=game&action=display&id=5308&back=czo1NzoiL2luZGV4LnBocD9wYWdlPXN0YXRzJmVudGl0eT1jYXRlZ29yeSZhY3Rpb249ZGlzcGxheSZpZD03Ijs=
Express Deux-Rives,National Gatineau,6 - 6,"Mer, 15 jun",18:30,Sanscartier 3,ABAG,http://www.baseballoutaouais.com/index.php?page=stats&entity=game&action=display&id=5309&back=czo1NzoiL2luZGV4LnBocD9wYWdlPXN0YXRzJmVudGl0eT1jYXRlZ29yeSZhY3Rpb249ZGlzcGxheSZpZD03Ijs=
Athlétiques Val-des-Monts,Mariniers Aylmer,1 - 11,"Mer, 15 jun",18:30,Lloyd,ABAA,http://www.baseballoutaouais.com/index.php?page=stats&entity=game&action=display&id=5310&back=czo1NzoiL2luZGV4LnBocD9wYWdlPXN0YXRzJmVudGl0eT1jYXRlZ29yeSZhY3Rpb249ZGlzcGxheSZpZD03Ijs=
Patriotes Gatineau,Express Deux-Rives,15 - 14,"Jeu, 16 jun",18:30,Gilles-Maisonneuve,ABADR,http://www.baseballoutaouais.com/index.php?page=stats&entity=game&action=display&id=5311&back=czo1NzoiL2luZGV4LnBocD9wYWdlPXN0YXRzJmVudGl0eT1jYXRlZ29yeSZhY3Rpb249ZGlzcGxheSZpZD03Ijs=
Mariniers Aylmer,Pionniers La Pêche,15 - 2,"Jeu, 16 jun",18:30,Parc des Loups,ABALP,http://www.baseballoutaouais.com/index.php?page=stats&entity=game&action=display&id=5312&back=czo1NzoiL2luZGV4LnBocD9wYWdlPXN0YXRzJmVudGl0eT1jYXRlZ29yeSZhY3Rpb249ZGlzcGxheSZpZD03Ijs=
Athlétiques Val-des-Monts,Hull Volant Hull,9 - 7,"Mar, 21 jun",18:30,Ste-Bernadette,ABAH,http://www.baseballoutaouais.com/index.php?page=stats&entity=game&action=display&id=5315&back=czo1NzoiL2luZGV4LnBocD9wYWdlPXN0YXRzJmVudGl0eT1jYXRlZ29yeSZhY3Rpb249ZGlzcGxheSZpZD03Ijs=
